t(+s)   | FIXED (target, scans -wal) | PRE-FIX (.db only)         | live -wal (bytes)      | agy pane (ground truth)
--------+----------------------------+----------------------------+------------------------+------------------------------
+0.0    | unknown agy-conversation   | unknown agy-conversation   | 5c0adba1.db-wal:0      | ? for shortcuts                               
+0.8    | unknown agy-conversation   | unknown agy-conversation   | 5c0adba1.db-wal:0      | ? for shortcuts                               
+1.5    | unknown agy-conversation   | unknown agy-conversation   | 5c0adba1.db-wal:0      |                                               
+2.3    | unknown agy-conversation   | unknown agy-conversation   | 5c0adba1.db-wal:0      |                                               
+3.1    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:32992  | esc to cancel                                 
+4.0    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:32992  | esc to cancel                                 
+4.6    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:32992  | esc to cancel                                 
+5.3    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:370832  | esc to cancel                                 
+6.0    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:370832  | esc to cancel                                 
+6.7    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:370832  | esc to cancel                                 
+7.4    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+8.0    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+8.7    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+9.3    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+9.9    | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+10.6   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+11.2   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+11.8   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+12.5   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+13.1   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+13.7   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+14.3   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+15.0   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+15.6   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+16.3   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+16.9   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:519152  | esc to cancel                                 
+17.5   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:741632  | esc to cancel                                 
+18.2   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:741632  | esc to cancel                                 
+18.8   | busy agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1128912  | esc to cancel                                 
+19.5   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+20.1   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+20.8   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+21.4   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+22.0   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+22.6   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+23.3   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+23.9   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+24.5   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+25.2   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+25.8   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+26.4   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+27.1   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+27.7   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+28.3   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+29.0   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+29.6   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+30.3   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+30.9   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+31.5   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+32.2   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+32.8   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+33.5   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+34.1   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+34.7   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+35.4   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+36.0   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
+36.7   | idle agy-conversation      | unknown agy-conversation   | 5c0adba1.db-wal:1380232  | ? for shortcuts                               
